"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"
52	"WFE"	"CPZ"	0.0538771939393939	"White"	"female"	"eyes"
52	"WFF"	"CPZ"	4.16825	"White"	"female"	"fore"
52	"WME"	"CPZ"	1.83128515151515	"White"	"male"	"eyes"
52	"WMF"	"CPZ"	3.98523484848485	"White"	"male"	"fore"
53	"BFE"	"CPZ"	1.37772575757576	"Black"	"female"	"eyes"
53	"BFF"	"CPZ"	0.237871606060606	"Black"	"female"	"fore"
53	"BME"	"CPZ"	1.30810454545455	"Black"	"male"	"eyes"
53	"BMF"	"CPZ"	-0.515670484848485	"Black"	"male"	"fore"
53	"WFE"	"CPZ"	1.50340909090909	"White"	"female"	"eyes"
53	"WFF"	"CPZ"	0.175019090909091	"White"	"female"	"fore"
53	"WME"	"CPZ"	3.60605060606061	"White"	"male"	"eyes"
53	"WMF"	"CPZ"	1.12421151515152	"White"	"male"	"fore"
54	"BFE"	"CPZ"	-0.829792363636364	"Black"	"female"	"eyes"
54	"BFF"	"CPZ"	-0.221077181818182	"Black"	"female"	"fore"
54	"BME"	"CPZ"	0.0393471848484849	"Black"	"male"	"eyes"
54	"BMF"	"CPZ"	0.614848363636364	"Black"	"male"	"fore"
54	"WFE"	"CPZ"	1.74064272727273	"White"	"female"	"eyes"
