"Subject"	"Condition"	"Electrode"	"meanAmp_factor"	"Race"	"Gender"	"Fix"	"Task"
22	"GBMF"	"PZ"	0.884145161290323	"Black"	"male"	"fore"	"Gender"
22	"GWFE"	"PZ"	0.48273935483871	"White"	"female"	"eyes"	"Gender"
22	"GWFF"	"PZ"	0.499310322580645	"White"	"female"	"fore"	"Gender"
22	"GWME"	"PZ"	-0.310516451612903	"White"	"male"	"eyes"	"Gender"
22	"GWMF"	"PZ"	0.552015806451613	"White"	"male"	"fore"	"Gender"
22	"RBFE"	"PZ"	0.520086774193548	"Black"	"female"	"eyes"	"Race"
22	"RBFF"	"PZ"	1.95988483870968	"Black"	"female"	"fore"	"Race"
22	"RBME"	"PZ"	1.35426516129032	"Black"	"male"	"eyes"	"Race"
22	"RBMF"	"PZ"	1.72769903225806	"Black"	"male"	"fore"	"Race"
22	"RWFE"	"PZ"	1.67238387096774	"White"	"female"	"eyes"	"Race"
22	"RWFF"	"PZ"	2.5433064516129	"White"	"female"	"fore"	"Race"
22	"RWME"	"PZ"	1.04790774193548	"White"	"male"	"eyes"	"Race"
22	"RWMF"	"PZ"	1.89847709677419	"White"	"male"	"fore"	"Race"
23	"GBFE"	"PZ"	-0.957171612903226	"Black"	"female"	"eyes"	"Gender"
23	"GBFF"	"PZ"	0.25981035483871	"Black"	"female"	"fore"	"Gender"
23	"GBME"	"PZ"	-2.27238193548387	"Black"	"male"	"eyes"	"Gender"
23	"GBMF"	"PZ"	-0.0719697741935484	"Black"	"male"	"fore"	"Gender"
23	"GWFE"	"PZ"	1.26597193548387	"White"	"female"	"eyes"	"Gender"
23	"GWFF"	"PZ"	2.01191516129032	"White"	"female"	"fore"	"Gender"
23	"GWME"	"PZ"	1.4230935483871	"White"	"male"	"eyes"	"Gender"
23	"GWMF"	"PZ"	1.02592612903226	"White"	"male"	"fore"	"Gender"
23	"RBFE"	"PZ"	0.544565161290323	"Black"	"female"	"eyes"	"Race"
23	"RBFF"	"PZ"	1.69196322580645	"Black"	"female"	"fore"	"Race"
23	"RBME"	"PZ"	0.787948709677419	"Black"	"male"	"eyes"	"Race"
23	"RBMF"	"PZ"	1.17562129032258	"Black"	"male"	"fore"	"Race"
23	"RWFE"	"PZ"	0.238842870967742	"White"	"female"	"eyes"	"Race"
23	"RWFF"	"PZ"	1.65836129032258	"White"	"female"	"fore"	"Race"
23	"RWME"	"PZ"	-0.565650322580645	"White"	"male"	"eyes"	"Race"
23	"RWMF"	"PZ"	2.82617806451613	"White"	"male"	"fore"	"Race"
24	"GBFE"	"PZ"	-3.2725264516129	"Black"	"female"	"eyes"	"Gender"
24	"GBFF"	"PZ"	-5.16979677419355	"Black"	"female"	"fore"	"Gender"
24	"GBME"	"PZ"	-4.91404193548387	"Black"	"male"	"eyes"	"Gender"
24	"GBMF"	"PZ"	-3.66825129032258	"Black"	"male"	"fore"	"Gender"
24	"GWFE"	"PZ"	-1.76472096774194	"White"	"female"	"eyes"	"Gender"
24	"GWFF"	"PZ"	-2.73850677419355	"White"	"female"	"fore"	"Gender"
24	"GWME"	"PZ"	-2.87831870967742	"White"	"male"	"eyes"	"Gender"
24	"GWMF"	"PZ"	-3.23794193548387	"White"	"male"	"fore"	"Gender"
24	"RBFE"	"PZ"	-2.38541548387097	"Black"	"female"	"eyes"	"Race"
24	"RBFF"	"PZ"	-3.45699580645161	"Black"	"female"	"fore"	"Race"
24	"RBME"	"PZ"	-2.82678580645161	"Black"	"male"	"eyes"	"Race"
24	"RBMF"	"PZ"	-3.27395806451613	"Black"	"male"	"fore"	"Race"
24	"RWFE"	"PZ"	-3.48887161290323	"White"	"female"	"eyes"	"Race"
24	"RWFF"	"PZ"	-2.13282741935484	"White"	"female"	"fore"	"Race"
24	"RWME"	"PZ"	-0.772678709677419	"White"	"male"	"eyes"	"Race"
24	"RWMF"	"PZ"	-5.23668064516129	"White"	"male"	"fore"	"Race"
25	"GBFE"	"PZ"	-1.92398580645161	"Black"	"female"	"eyes"	"Gender"
25	"GBFF"	"PZ"	-0.659640322580645	"Black"	"female"	"fore"	"Gender"
25	"GBME"	"PZ"	-3.38733709677419	"Black"	"male"	"eyes"	"Gender"
25	"GBMF"	"PZ"	-2.51326387096774	"Black"	"male"	"fore"	"Gender"
25	"GWFE"	"PZ"	-4.40659032258065	"White"	"female"	"eyes"	"Gender"
25	"GWFF"	"PZ"	-2.84266064516129	"White"	"female"	"fore"	"Gender"
25	"GWME"	"PZ"	-2.44037870967742	"White"	"male"	"eyes"	"Gender"
25	"GWMF"	"PZ"	-0.99588935483871	"White"	"male"	"fore"	"Gender"
25	"RBFE"	"PZ"	-4.88125483870968	"Black"	"female"	"eyes"	"Race"
25	"RBFF"	"PZ"	-1.37943967741935	"Black"	"female"	"fore"	"Race"
25	"RBME"	"PZ"	-2.34054870967742	"Black"	"male"	"eyes"	"Race"
25	"RBMF"	"PZ"	-2.68089193548387	"Black"	"male"	"fore"	"Race"
25	"RWFE"	"PZ"	-4.10192580645161	"White"	"female"	"eyes"	"Race"
25	"RWFF"	"PZ"	-1.79813064516129	"White"	"female"	"fore"	"Race"
25	"RWME"	"PZ"	-4.07731290322581	"White"	"male"	"eyes"	"Race"
25	"RWMF"	"PZ"	0.342181967741935	"White"	"male"	"fore"	"Race"
